,CAa4,CAa8,CAa12,CAa16,CAa20
CAa4,0.0,0.11897507313303421,0.24387864591971575,0.28115481690570915,0.3149389074655118
CAa8,0.11897507313303421,0.0,0.21236852003436854,0.24806111005011972,0.2893166439426358
CAa12,0.24387864591971575,0.21236852003436854,0.0,0.14565306111330617,0.1618142504698045
CAa16,0.28115481690570915,0.24806111005011972,0.14565306111330617,0.0,0.1383846657295543
CAa20,0.3149389074655118,0.2893166439426358,0.1618142504698045,0.1383846657295543,0.0
